epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6907,2.02113,3.68943,1.53069,0.03309,0.34028,0.1236,0.06882,1.60622,3.63676,1.24375,8.75e-05,8.75e-05,8.75e-05
2,129.978,1.85313,2.80393,1.33775,0.06807,0.4546,0.15876,0.09057,1.72559,3.37895,1.2389,0.000183787,0.000183787,0.000183787
3,185.784,1.79809,1.78681,1.27338,0.10726,0.5684,0.301,0.16364,1.70947,3.06842,1.25922,0.000276115,0.000276115,0.000276115
4,229.558,1.73399,1.43823,1.26612,0.12525,0.64815,0.40068,0.19858,1.71208,2.85668,1.26704,0.000364482,0.000364482,0.000364482
5,274.349,1.68207,1.30197,1.23705,0.11475,0.74024,0.45432,0.2188,1.71693,2.64452,1.29649,0.00044889,0.00044889,0.00044889
6,317.842,1.63379,1.22955,1.24926,0.59794,0.14319,0.38018,0.18797,1.70547,2.56875,1.34264,0.000529338,0.000529338,0.000529338
7,361.45,1.60511,1.1612,1.24029,0.63451,0.22895,0.46532,0.22044,1.75989,2.32081,1.36326,0.000605825,0.000605825,0.000605825
8,405.546,1.59456,1.16235,1.22403,0.59715,0.31773,0.51274,0.25134,1.66908,1.92264,1.26925,0.000678352,0.000678352,0.000678352
9,451.414,1.61852,1.15812,1.23598,0.55746,0.45546,0.5353,0.2633,1.65624,1.61268,1.2748,0.00074692,0.00074692,0.00074692
10,494.755,1.5398,1.10663,1.20561,0.54033,0.49376,0.56125,0.27649,1.64358,1.44381,1.25175,0.000811528,0.000811528,0.000811528
11,538.432,1.57427,1.0958,1.21639,0.52361,0.50234,0.56024,0.26445,1.70658,1.45675,1.27252,0.000872175,0.000872175,0.000872175
12,581.317,1.48887,1.06034,1.18926,0.61041,0.55165,0.54757,0.2744,1.66867,1.5073,1.28232,0.000928863,0.000928863,0.000928863
13,624.784,1.54486,1.03249,1.20327,0.55931,0.4966,0.51173,0.24038,1.72423,1.69953,1.31314,0.000953,0.000953,0.000953
14,668.802,1.51352,1.03294,1.18837,0.49792,0.37572,0.44281,0.18732,1.88372,1.90542,1.39385,0.00092825,0.00092825,0.00092825
15,712.05,1.53475,1.06076,1.21207,0.48518,0.42653,0.43821,0.18823,1.82902,1.74953,1.3724,0.0009035,0.0009035,0.0009035
16,755.456,1.47588,0.99745,1.20062,0.50971,0.54099,0.58307,0.28413,1.67184,1.33273,1.2942,0.00087875,0.00087875,0.00087875
17,799.212,1.49508,0.99867,1.18888,0.62503,0.58218,0.57597,0.25647,1.81328,1.36756,1.3657,0.000854,0.000854,0.000854
18,842.62,1.49277,1.00467,1.1951,0.61264,0.62716,0.60106,0.29738,1.69215,1.2553,1.30871,0.00082925,0.00082925,0.00082925
19,886.121,1.45099,0.96672,1.16609,0.6453,0.61102,0.6111,0.30276,1.70127,1.20384,1.30709,0.0008045,0.0008045,0.0008045
20,930.183,1.42276,0.91613,1.146,0.70557,0.60789,0.62346,0.32631,1.6122,1.07963,1.27951,0.00077975,0.00077975,0.00077975
21,973.529,1.41957,0.96708,1.17025,0.67399,0.60698,0.6306,0.3261,1.61851,1.1367,1.27831,0.000755,0.000755,0.000755
22,1017.32,1.43462,0.93164,1.16025,0.65164,0.57526,0.60606,0.29581,1.68783,1.16588,1.32564,0.00073025,0.00073025,0.00073025
23,1061.06,1.45188,0.93433,1.15091,0.53384,0.57729,0.52056,0.2112,1.94978,1.20941,1.51459,0.0007055,0.0007055,0.0007055
24,1105,1.44464,0.93553,1.14566,0.6327,0.62744,0.59601,0.29654,1.629,1.045,1.3129,0.00068075,0.00068075,0.00068075
25,1149.07,1.50292,0.93881,1.16138,0.70272,0.60824,0.62836,0.29703,1.63569,1.04285,1.32264,0.000656,0.000656,0.000656
26,1192.58,1.41449,0.91434,1.15162,0.68876,0.62403,0.6854,0.33934,1.62843,1.03413,1.30209,0.00063125,0.00063125,0.00063125
27,1236.42,1.3934,0.8962,1.12376,0.75916,0.6167,0.67127,0.33088,1.64729,1.04486,1.29181,0.0006065,0.0006065,0.0006065
28,1281.5,1.40376,0.88418,1.13198,0.76731,0.64426,0.67337,0.33182,1.6458,1.00743,1.30979,0.00058175,0.00058175,0.00058175
29,1328.32,1.3616,0.86067,1.13145,0.63872,0.70034,0.66546,0.32785,1.6935,1.00051,1.30575,0.000557,0.000557,0.000557
30,1374.05,1.36234,0.84653,1.11234,0.73922,0.62135,0.68999,0.37128,1.62243,0.97042,1.28341,0.00053225,0.00053225,0.00053225
31,1417.98,1.37952,0.86853,1.13738,0.70121,0.72699,0.70657,0.38696,1.61066,0.94926,1.26649,0.0005075,0.0005075,0.0005075
32,1463.44,1.35292,0.84781,1.11338,0.61701,0.66469,0.66835,0.33318,1.70865,0.98601,1.2974,0.00048275,0.00048275,0.00048275
33,1508.19,1.34588,0.84029,1.10287,0.67966,0.61014,0.66387,0.35284,1.61145,0.94697,1.27583,0.000458,0.000458,0.000458
34,1552.62,1.33733,0.82567,1.11351,0.55421,0.54617,0.62916,0.32126,1.63757,0.9489,1.28981,0.00043325,0.00043325,0.00043325
35,1597.01,1.34325,0.8142,1.11613,0.56071,0.56002,0.63734,0.32325,1.63657,0.93864,1.2775,0.0004085,0.0004085,0.0004085
36,1641.98,1.32854,0.80498,1.10318,0.73915,0.67246,0.69815,0.36765,1.60683,0.92851,1.28094,0.00038375,0.00038375,0.00038375
